currentRank,__typename,node.episodes.episodes.total,node.episodes.episodes.__typename,node.episodes.__typename,node.id,node.titleText.text,node.titleText.__typename,node.titleType.id,node.titleType.text,node.titleType.canHaveEpisodes,node.titleType.displayableProperty.value.plainText,node.titleType.displayableProperty.value.__typename,node.titleType.displayableProperty.__typename,node.titleType.__typename,node.originalTitleText.text,node.originalTitleText.__typename,node.primaryImage.id,node.primaryImage.width,node.primaryImage.height,node.primaryImage.url,node.primaryImage.caption.plainText,node.primaryImage.caption.__typename,node.primaryImage.__typename,node.releaseYear.year,node.releaseYear.endYear,node.releaseYear.__typename,node.ratingsSummary.aggregateRating,node.ratingsSummary.voteCount,node.ratingsSummary.__typename,node.runtime.seconds,node.runtime.__typename,node.certificate.rating,node.certificate.__typename,node.canRate.isRatable,node.canRate.__typename,node.titleGenres.genres,node.titleGenres.__typename,node.canHaveEpisodes,node.plot.plotText.plainText,node.plot.plotText.__typename,node.plot.__typename,node.latestTrailer.id,node.latestTrailer.__typename,node.series,node.releaseDate.day,node.releaseDate.month,node.releaseDate.year,node.releaseDate.__typename,node.productionStatus.currentProductionStage.id,node.productionStatus.currentProductionStage.text,node.productionStatus.currentProductionStage.__typename,node.productionStatus.__typename,node.__typename,node.latestTrailer,node.certificate,node.runtime
11,ChartTitleEdge,13,EpisodeConnection,Episodes,tt0081846,Cosmos,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Cosmos,TitleText,rm787024385,1280,1920,https://m.media-amazon.com/images/M/MV5BOTA5MWFhMzAtOWU1OS00Yjk4LTlkNGItNGI3N2VkNzcyNGU2XkEyXkFqcGc@._V1_.jpg,Carl Sagan in Cosmos (1980),Markdown,Image,1980,1980.0,YearRange,9.3,47524,RatingsSummary,3600.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Markdown,Plot,vi3961371929,Video,,28.0,9.0,1980,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
12,ChartTitleEdge,12,EpisodeConnection,Episodes,tt9253866,Our Planet,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Our Planet,TitleText,rm3840412161,1000,1426,https://m.media-amazon.com/images/M/MV5BZDE1NzlkNWMtNzFiMC00ZTgxLTgyMmItOTU5OGI2NWQ4MDMxXkEyXkFqcGc@._V1_.jpg,David Attenborough in Our Planet (2019),Markdown,Image,2019,2023.0,YearRange,9.2,55964,RatingsSummary,3000.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",Markdown,Plot,vi2722874393,Video,,5.0,4.0,2019,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
13,ChartTitleEdge,74,EpisodeConnection,Episodes,tt0944947,Game of Thrones,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Game of Thrones,TitleText,rm2903373057,550,824,https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_.jpg,Game of Thrones (2011),Markdown,Image,2011,2019.0,YearRange,9.2,2406612,RatingsSummary,3600.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Markdown,Plot,vi1988544281,Video,,17.0,4.0,2011,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
14,ChartTitleEdge,195,EpisodeConnection,Episodes,tt7678620,Bluey,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Bluey,TitleText,rm4004683521,1655,2483,https://m.media-amazon.com/images/M/MV5BYWU1YmQzMjEtMDNjOS00MGIyLWExY2ItZDAzNmU5NWViMGZmXkEyXkFqcGc@._V1_.jpg,David McCormack and Melanie Zanetti in The Sign (2024),Markdown,Image,2018,,YearRange,9.3,36816,RatingsSummary,420.0,Runtime,TV-Y,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Family', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,Markdown,Plot,vi50710809,Video,,30.0,9.0,2018,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
15,ChartTitleEdge,26,EpisodeConnection,Episodes,tt0071075,The World at War,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The World at War,TitleText,rm2953200385,992,1200,https://m.media-amazon.com/images/M/MV5BM2I1OGUyNmYtZmNiOC00OGQ4LWFlNDEtYTM5ZTAxMDI4ZmMyXkEyXkFqcGc@._V1_.jpg,The World at War (1973),Markdown,Image,1973,1974.0,YearRange,9.2,32738,RatingsSummary,3120.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'War', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",Markdown,Plot,,,,31.0,10.0,1973,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
16,ChartTitleEdge,68,EpisodeConnection,Episodes,tt1355642,Fullmetal Alchemist: Brotherhood,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Hagane no renkinjutsushi,TitleText,rm4007074048,1143,1600,https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_.jpg,Romi Park and Rie Kugimiya in Fullmetal Alchemist: Brotherhood (2009),Markdown,Image,2009,2010.0,YearRange,9.1,216263,RatingsSummary,1440.0,Runtime,TV-14,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Markdown,Plot,vi4196311833,Video,,9.0,4.0,2009,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
17,ChartTitleEdge,11,EpisodeConnection,Episodes,tt1533395,Life,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Life,TitleText,rm3766971393,680,1000,https://m.media-amazon.com/images/M/MV5BZDJjMzJiMTktMWZkZi00YWY0LWJjNGUtY2ZmNTFlOThhZTA4XkEyXkFqcGc@._V1_.jpg,Life (2009),Markdown,Image,2009,2009.0,YearRange,9.1,45432,RatingsSummary,3000.0,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"A global view of the specialized strategies and extreme behavior that living things have developed in order to survive; what Charles Darwin termed ""the struggle for existence.""",Markdown,Plot,vi161529113,Video,,12.0,10.0,2009,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
18,ChartTitleEdge,78,EpisodeConnection,Episodes,tt2861424,Rick and Morty,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Rick and Morty,TitleText,rm209331968,1280,1920,https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_.jpg,Dan Harmon and Justin Roiland in Rick and Morty (2013),Markdown,Image,2013,,YearRange,9.1,639871,RatingsSummary,1380.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Comedy', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,Markdown,Plot,vi3405760793,Video,,2.0,12.0,2013,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
19,ChartTitleEdge,10,EpisodeConnection,Episodes,tt8420184,The Last Dance,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Last Dance,TitleText,rm2230170369,4005,5973,https://m.media-amazon.com/images/M/MV5BOTQyYmQ1N2UtYjFkNS00NzgyLTk5YTUtYjExMDdjOTA3MGU2XkEyXkFqcGc@._V1_.jpg,"Michael Jordan, Dennis Rodman, Phil Jackson, Steve Kerr, and Scottie Pippen in The Last Dance (2020)",Markdown,Image,2020,2020.0,YearRange,9.0,164168,RatingsSummary,3000.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Biography', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",Markdown,Plot,vi103792921,Video,,19.0,4.0,2020,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
20,ChartTitleEdge,156,EpisodeConnection,Episodes,tt0052520,The Twilight Zone,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Twilight Zone,TitleText,rm1757242112,490,761,https://m.media-amazon.com/images/M/MV5BZjdmOTE3NjItY2JkMi00YjlhLWI0M2UtZjEwZTQ4ZDBkM2I0XkEyXkFqcGc@._V1_.jpg,Rod Serling in The Twilight Zone (1959),Markdown,Image,1959,1964.0,YearRange,9.0,99585,RatingsSummary,3000.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Fantasy', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Horror', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",Markdown,Plot,vi3503671577,Video,,2.0,10.0,1959,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
21,ChartTitleEdge,10,EpisodeConnection,Episodes,tt1877514,The Vietnam War,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Vietnam War,TitleText,rm1743325697,2000,3000,https://m.media-amazon.com/images/M/MV5BYTQ1ZWYzMmQtNWU5OC00YWY0LTkyMWMtMTU0NjYxMjJkMmNjXkEyXkFqcGc@._V1_.jpg,The Vietnam War (2017),Markdown,Image,2017,2017.0,YearRange,9.1,30970,RatingsSummary,5400.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'War', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,Markdown,Plot,vi3677471257,Video,,17.0,9.0,2017,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
22,ChartTitleEdge,98,EpisodeConnection,Episodes,tt2560140,Attack on Titan,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Shingeki no Kyojin,TitleText,rm2459906561,889,1200,https://m.media-amazon.com/images/M/MV5BNjY4MDQxZTItM2JjMi00NjM5LTk0MWYtOTBlNTY2YjBiNmFjXkEyXkFqcGc@._V1_.jpg,"Marina Inoue, Yûki Kaji, and Yui Ishikawa in Attack on Titan (2013)",Markdown,Image,2013,2023.0,YearRange,9.1,589118,RatingsSummary,1440.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Markdown,Plot,vi3191457561,Video,,28.0,9.0,2013,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
23,ChartTitleEdge,15,EpisodeConnection,Episodes,tt1475582,Sherlock,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Sherlock,TitleText,rm3976165121,1000,1500,https://m.media-amazon.com/images/M/MV5BNTQzNGZjNDEtOTMwYi00MzFjLWE2ZTYtYzYxYzMwMjZkZDc5XkEyXkFqcGc@._V1_.jpg,Martin Freeman and Benedict Cumberbatch in Sherlock (2010),Markdown,Image,2010,2017.0,YearRange,9.1,1039518,RatingsSummary,5400.0,Runtime,TV-14,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Mystery', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance.",Markdown,Plot,vi1000193049,Video,,24.0,10.0,2010,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
